Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
15/065,2015-06-04,18,24,28,31,39,49,44,,2,4,3,3,0,1,2,2,1,0,0.00,1,1635630.00,43,102620.00,72,9600.00,2597,640.00,2849,320.00,50019,40.00,31931576
15/064,2015-06-02,11,12,15,21,38,42,25,42,4,2,3,3,0,3,1,1,1,2,5333330.00,1,1656520.00,56,79590.00,117,9600.00,2797,640.00,3923,320.00,53108,40.00,34116961
15/063,2015-05-30,9,16,28,36,42,45,2,,2,4,2,4,1,1,1,1,2,1,21484090.00,1,1915660.00,74,69500.00,184,9600.00,3844,640.00,4659,320.00,69344,40.00,41712166
15/062,2015-05-28,2,7,20,23,44,47,30,7,4,2,3,3,2,1,1,0,2,1,28973880.00,1,2500340.00,58,114950.00,115,9600.00,3324,640.00,4663,320.00,68286,40.00,47726247
15/061,2015-05-26,7,10,15,37,42,45,41,"10,45",3,3,4,2,2,1,0,1,2,1,42945680.00,2,2149960.00,85,101770.00,211,9600.00,4867,640.00,6026,320.00,93338,40.00,63746524
15/060,2015-05-23,5,10,13,43,44,45,7,,3,3,4,2,2,1,0,0,3,0,0.00,0,0.00,76,82320.00,176,9600.00,3530,640.00,5142,320.00,68632,40.00,47273723
15/059,2015-05-21,16,18,19,36,42,47,46,,3,3,2,4,0,3,0,1,2,0,0.00,0,0.00,63,92690.00,169,9600.00,3550,640.00,4968,320.00,65692,40.00,44488341
15/058,2015-05-19,21,27,28,33,37,48,13,"21,37",1,5,4,2,0,0,3,2,1,0,0.00,1,1819130.00,56,87400.00,142,9600.00,3280,640.00,4259,320.00,60570,40.00,38092299
15/057,2015-05-17,21,32,36,37,44,46,47,,1,5,2,4,0,0,1,3,2,0,0.00,1,1656720.00,36,122720.00,106,9600.00,2105,640.00,2993,320.00,42265,40.00,31759150
15/056,2015-05-14,5,17,22,34,38,48,2,,3,3,2,4,1,1,1,2,1,1,48719960.00,2,2227730.00,160,55690.00,266,9600.00,6948,640.00,7996,320.00,121474,40.00,72033316
15/055,2015-05-12,3,7,15,25,26,47,10,15,3,3,5,1,2,1,2,0,1,0,0.00,2,1314050.00,112,62850.00,348,9600.00,6044,640.00,9892,320.00,108292,40.00,62873572
15/054,2015-05-10,2,13,15,38,39,44,8,,3,3,3,3,1,2,0,2,1,0,0.00,1,2741590.00,76,96190.00,209,9600.00,4516,640.00,7021,320.00,81920,40.00,56481277
15/053,2015-05-07,3,7,14,21,25,29,6,,4,2,5,1,2,1,3,0,0,0,0.00,5,367840.00,92,53770.00,261,9600.00,5384,640.00,7808,320.00,85450,40.00,46923517
15/052,2015-05-05,11,13,41,42,43,49,29,49,2,4,5,1,0,2,0,0,4,0,0.00,0,0.00,53,105650.00,136,9600.00,3294,640.00,3933,320.00,57634,40.00,41401936
15/051,2015-05-02,7,10,12,16,26,49,40,,4,2,2,4,2,2,1,0,1,0,0.00,1,1336750.00,67,53600.00,105,9600.00,3286,640.00,2862,320.00,59564,40.00,30004655
15/050,2015-04-30,6,8,30,34,36,42,12,"8,36",2,4,0,6,2,0,1,2,1,1,43829100.00,2,1934820.00,111,70030.00,371,9600.00,5933,640.00,10526,320.00,109966,40.00,67374811
15/049,2015-04-28,1,8,28,31,36,45,9,36,2,4,3,3,2,0,1,2,1,0,0.00,3,868620.00,96,72380.00,316,9600.00,5352,640.00,10266,320.00,100123,40.00,60811257
15/048,2015-04-25,12,19,21,24,36,49,23,36,4,2,3,3,0,2,2,1,1,0,0.00,0,0.00,69,87200.00,152,9600.00,3685,640.00,4868,320.00,66554,40.00,45272566
15/047,2015-04-23,3,4,7,8,26,36,31,3,4,2,2,4,4,0,1,1,0,1,36689860.00,3,813170.00,214,25390.00,301,9600.00,8952,640.00,7677,320.00,131726,40.00,57842053
15/046,2015-04-21,3,13,20,24,43,48,49,,4,2,3,3,1,2,1,0,2,0,0.00,4,741840.00,72,96160.00,226,9600.00,4078,640.00,7201,320.00,78787,40.00,54169599
15/045,2015-04-18,12,17,29,31,41,47,38,,2,4,5,1,0,2,1,1,2,0,0.00,1,1994450.00,82,65250.00,173,9600.00,3906,640.00,4622,320.00,66517,40.00,42419139
15/044,2015-04-16,1,3,5,20,35,39,28,35,4,2,5,1,3,1,0,2,0,0,0.00,1,1787110.00,74,64660.00,177,9600.00,4023,640.00,5700,320.00,72301,40.00,40892357
15/043,2015-04-14,30,31,35,40,42,48,6,42,0,6,2,4,0,0,1,3,2,1,22914080.00,4,726650.00,74,92270.00,172,9600.00,3407,640.00,4496,320.00,65558,40.00,49109666
15/042,2015-04-11,6,17,18,19,20,42,25,,5,1,2,4,1,4,0,0,1,0,0.00,2,835640.00,57,78880.00,126,9600.00,3471,640.00,4188,320.00,59002,40.00,35879353
15/041,2015-04-09,10,11,31,34,37,38,14,,2,4,3,3,1,1,0,4,0,1,20540720.00,1,2133010.00,67,85530.00,201,9600.00,4187,640.00,5714,320.00,75899,40.00,46472061
15/040,2015-04-06,21,24,26,42,43,46,4,26,2,4,2,4,0,0,3,0,3,0,0.00,2,799400.00,37,115220.00,94,9600.00,1751,640.00,2636,320.00,34377,40.00,29545139
15/039,2015-04-04,9,12,26,29,44,45,19,12,2,4,3,3,1,1,2,0,2,0,0.00,0,0.00,45,79720.00,126,9600.00,2221,640.00,3831,320.00,43354,40.00,28604606
15/038,2015-04-02,4,12,20,37,42,47,35,,3,3,2,4,1,2,0,1,2,1,12640270.00,2,907350.00,72,67680.00,146,9600.00,2967,640.00,3635,320.00,56479,40.00,37060391
15/037,2015-03-31,2,5,10,27,36,46,7,,3,3,2,4,3,0,1,1,1,1,14392300.00,3,549840.00,68,64680.00,266,9600.00,4117,640.00,7576,320.00,74923,40.00,42017289
15/036,2015-03-28,6,11,16,29,30,37,34,"6,16",3,3,3,3,1,2,2,1,0,0,0.00,0,0.00,47,82790.00,102,9600.00,2644,640.00,2836,320.00,50518,40.00,29946620
15/035,2015-03-26,2,6,9,16,39,49,29,2,4,2,3,3,3,1,0,1,1,2,13123390.00,6,216530.00,142,24390.00,821,9600.00,5777,640.00,11446,320.00,93538,40.00,44064334
15/034,2015-03-24,2,5,13,37,42,44,27,,3,3,3,3,2,1,0,1,2,0,0.00,0,0.00,43,120730.00,111,9600.00,2474,640.00,3846,320.00,50074,40.00,37305842
15/033,2015-03-22,7,26,30,33,34,38,5,30,1,5,2,4,1,0,2,3,0,0,0.00,3,559450.00,42,106560.00,128,9600.00,2654,640.00,3647,320.00,52151,40.00,34214267
15/032,2015-03-19,12,15,17,30,31,43,46,,3,3,4,2,0,3,1,1,1,1,8000000.00,0,0.00,51,86130.00,104,9600.00,2443,640.00,2733,320.00,48685,40.00,32319540
15/031,2015-03-17,1,5,11,23,34,47,14,,4,2,5,1,2,1,1,1,1,1,8000000.00,1,1617190.00,50,86250.00,127,9600.00,3397,640.00,4270,320.00,62902,40.00,35403876
15/030,2015-03-14,4,21,25,29,32,37,27,"25,37",2,4,4,2,1,0,3,2,0,1,8000000.00,3,656130.00,40,110740.00,122,9600.00,2039,640.00,3727,320.00,41021,40.00,32077271
15/029,2015-03-12,14,17,23,24,25,37,34,,4,2,4,2,0,2,3,1,0,2,4000000.00,3,465330.00,51,73710.00,209,9600.00,3197,640.00,4405,320.00,57376,40.00,33303545
15/028,2015-03-10,1,18,22,27,45,48,25,,3,3,3,3,1,1,2,0,2,2,13685490.00,1,2191520.00,89,66030.00,214,9600.00,4420,640.00,6282,320.00,85311,40.00,48816206
15/027,2015-03-07,6,8,12,16,32,49,37,6,4,2,1,5,2,2,0,1,1,0,0.00,1,1701040.00,78,58530.00,148,9600.00,4144,640.00,3937,320.00,74993,40.00,38507955
15/026,2015-03-05,2,6,10,20,38,40,46,,4,2,0,6,3,1,0,2,0,0,0.00,3,489790.00,102,38600.00,135,9600.00,4435,640.00,3356,320.00,67186,40.00,34547106
15/025,2015-03-03,13,17,25,27,46,49,19,25,2,4,5,1,0,2,2,0,2,1,17232210.00,2,1150580.00,51,120320.00,175,9600.00,4017,640.00,5107,320.00,75475,40.00,47708279
15/024,2015-02-28,6,9,23,25,41,43,38,25,3,3,5,1,2,0,2,0,2,0,0.00,1,1808190.00,56,86100.00,130,9600.00,3231,640.00,4520,320.00,62058,40.00,37936961
15/023,2015-02-26,10,12,20,22,25,33,27,33,4,2,2,4,1,2,2,1,0,1,8000000.00,1,1495570.00,75,53530.00,158,9600.00,4134,640.00,4729,320.00,68946,40.00,35897466
15/022,2015-02-24,17,18,28,32,33,48,37,28,2,4,2,4,0,2,1,2,1,2,39879610.00,4,1030960.00,263,41810.00,525,9600.00,12609,640.00,12975,320.00,197984,40.00,102577388
15/021,2015-02-22,15,20,28,29,42,46,35,"28,46",2,4,2,4,0,2,2,0,2,0,0.00,7,830840.00,190,81840.00,472,9600.00,9278,640.00,12338,320.00,168463,40.00,118079100
15/020,2015-02-17,14,22,28,33,44,46,25,,2,4,1,5,0,1,2,1,2,0,0.00,3,935550.00,65,95950.00,137,9600.00,3939,640.00,4420,320.00,71649,40.00,46760301
15/019,2015-02-14,2,10,12,21,25,35,26,10,4,2,3,3,2,1,2,1,0,0,0.00,1,1384980.00,79,46750.00,163,9600.00,3481,640.00,4457,320.00,60197,40.00,32906586
15/018,2015-02-12,7,9,10,14,22,31,35,,5,1,3,3,3,1,1,1,0,1,35051820.00,1,2096130.00,244,22950.00,286,9600.00,9065,640.00,7131,320.00,123753,40.00,57649011
15/017,2015-02-10,2,17,23,30,34,41,14,17,3,3,3,3,1,1,2,1,1,0,0.00,2,1762750.00,67,106030.00,188,9600.00,3280,640.00,4860,320.00,68199,40.00,51023695
15/016,2015-02-08,5,7,17,18,27,48,30,"17,18",4,2,4,2,2,2,1,0,1,1,41662010.00,2,1420720.00,174,43670.00,298,9600.00,8862,640.00,8002,320.00,134430,40.00,69048674
15/015,2015-02-05,13,16,17,18,22,45,10,,5,1,3,3,0,4,1,0,1,0,0.00,1,2601790.00,72,97030.00,226,9600.00,4689,640.00,6156,320.00,83523,40.00,54698085
15/014,2015-02-03,11,34,36,43,47,49,21,47,1,5,4,2,0,1,0,2,3,0,0.00,3,1014010.00,76,89530.00,204,9600.00,4259,640.00,5388,320.00,78736,40.00,52081993
15/013,2015-01-31,5,7,14,17,46,47,27,46,4,2,4,2,2,2,0,0,2,0,0.00,1,1291300.00,52,66860.00,482,9600.00,3433,640.00,10042,320.00,64968,40.00,40910216
15/012,2015-01-29,6,15,25,29,32,46,9,,2,4,3,3,1,1,2,1,1,0,0.00,3,694340.00,55,84930.00,189,9600.00,2678,640.00,5736,320.00,53885,40.00,37474008
15/011,2015-01-27,4,5,10,13,28,35,12,,4,2,3,3,3,1,1,1,0,0,0.00,3,397300.00,76,42090.00,278,9600.00,3742,640.00,6766,320.00,62930,40.00,34216992
15/010,2015-01-24,17,18,20,26,31,32,6,,3,3,2,4,0,3,1,2,0,2,8319880.00,4,426650.00,89,44990.00,247,9600.00,3279,640.00,5982,320.00,57026,40.00,36295869
15/009,2015-01-22,8,16,21,30,42,46,32,,3,3,1,5,1,1,2,0,2,0,0.00,3,517500.00,41,102220.00,142,9600.00,2383,640.00,3309,320.00,44945,40.00,31691957
15/008,2015-01-20,5,7,9,13,15,29,47,15,5,1,6,0,3,2,1,0,0,1,28064260.00,2,1414020.00,188,30210.00,199,9600.00,8327,640.00,6340,320.00,118679,40.00,54721001
15/007,2015-01-17,14,15,16,25,27,30,11,14,3,3,3,3,0,3,3,0,0,0,0.00,3,836680.00,82,68440.00,161,9600.00,3825,640.00,5501,320.00,68109,40.00,44069021
15/006,2015-01-15,1,2,14,37,43,49,24,"37,43",3,3,4,2,2,1,0,1,2,0,0.00,1,1894680.00,46,109830.00,148,9600.00,3398,640.00,4758,320.00,66380,40.00,40090489
15/005,2015-01-13,16,21,27,37,40,43,14,"21,40",2,4,4,2,0,1,2,2,1,0,0.00,0,0.00,43,108030.00,95,9600.00,1906,640.00,2716,320.00,38526,40.00,32035107
15/004,2015-01-11,10,21,24,33,40,47,5,,3,3,3,3,1,0,2,2,1,1,14179430.00,1,2059810.00,68,80770.00,155,9600.00,3260,640.00,4327,320.00,60151,40.00,41574820
15/003,2015-01-08,8,18,19,28,37,44,13,18,3,3,2,4,1,2,1,1,1,0,0.00,2,952240.00,46,83710.00,146,9600.00,3387,640.00,4399,320.00,60442,40.00,33062422
15/002,2015-01-06,3,14,16,18,38,49,29,,4,2,2,4,1,3,0,1,1,3,22725350.00,2,2337530.00,226,55280.00,507,9600.00,12095,640.00,14313,320.00,198019,40.00,109913789
15/001,2015-01-03,8,15,31,35,42,44,39,,2,4,3,3,1,1,0,2,2,0,0.00,8,717810.00,167,85960.00,437,9600.00,8691,640.00,11359,320.00,166109,40.00,110142321
14/152,2014-12-31,10,19,25,32,33,37,27,"25,33",2,4,4,2,1,1,1,3,0,0,0.00,1,2492800.00,83,80090.00,196,9600.00,4272,640.00,5596,320.00,78316,40.00,51468624
14/151,2014-12-29,1,25,30,33,39,40,7,,1,5,4,2,1,0,2,3,0,0,0.00,3,546660.00,63,57840.00,188,9600.00,3048,640.00,5182,320.00,55192,40.00,32654367
14/150,2014-12-27,14,15,28,31,32,48,40,,2,4,2,4,0,2,1,2,1,0,0.00,1,1857700.00,51,97130.00,116,9600.00,2871,640.00,3437,320.00,55300,40.00,36799713
14/149,2014-12-25,12,19,24,43,46,47,30,"12,47",3,3,3,3,0,2,1,0,3,1,19483290.00,2,993890.00,40,132510.00,122,9600.00,2455,640.00,3018,320.00,49723,40.00,37508283
14/148,2014-12-23,1,4,12,14,35,47,33,,4,2,3,3,2,2,0,1,1,0,0.00,1,1577120.00,71,59230.00,169,9600.00,4026,640.00,4958,320.00,72489,40.00,37470601
14/147,2014-12-21,2,25,30,36,37,43,22,25,1,5,3,3,1,0,2,2,1,0,0.00,2,1077170.00,37,116450.00,144,9600.00,2131,640.00,3601,320.00,41760,40.00,32233284
14/146,2014-12-18,6,8,10,21,25,29,33,,4,2,3,3,3,0,3,0,0,1,20371440.00,2,813530.00,132,32990.00,198,9600.00,5860,640.00,5804,320.00,89347,40.00,42595494
14/145,2014-12-16,1,7,14,31,34,42,16,14,3,3,3,3,2,1,0,2,1,0,0.00,1,2000990.00,60,89680.00,120,9600.00,3382,640.00,4245,320.00,64955,40.00,40605674
14/144,2014-12-13,12,14,17,20,40,48,19,,4,2,1,5,0,4,0,1,1,0,0.00,0,0.00,31,127930.00,113,9600.00,2310,640.00,3388,320.00,45493,40.00,30292619
14/143,2014-12-11,1,7,13,32,35,39,31,13,3,3,5,1,2,1,0,3,0,1,8000000.00,1,1473290.00,50,79360.00,144,9600.00,2384,640.00,3789,320.00,47069,40.00,31104410
14/142,2014-12-09,3,4,13,29,31,41,46,,3,3,5,1,2,1,1,1,1,1,22273570.00,2,1178220.00,98,64440.00,133,9600.00,4309,640.00,4181,320.00,77126,40.00,47621637
14/141,2014-12-06,17,18,21,25,40,48,16,,3,3,3,3,0,2,2,1,1,0,0.00,1,1911910.00,35,145660.00,122,9600.00,2683,640.00,3787,320.00,54241,40.00,37539604
14/140,2014-12-04,1,8,20,27,33,36,35,"1,27",3,3,3,3,2,1,1,2,0,0,0.00,0,0.00,56,70680.00,118,9600.00,2836,640.00,3274,320.00,55107,40.00,31402586
14/139,2014-12-02,1,4,13,27,47,49,33,,3,3,5,1,2,1,1,0,2,1,14195900.00,5,329010.00,84,52530.00,214,9600.00,4922,640.00,5051,320.00,84279,40.00,41191959
14/138,2014-11-29,7,26,29,32,33,37,31,,1,5,4,2,1,0,2,3,0,0,0.00,0,0.00,65,51710.00,160,9600.00,2999,640.00,4098,320.00,52655,40.00,29829284
14/137,2014-11-27,2,20,22,30,40,45,44,,3,3,1,5,1,1,2,1,1,1,56474290.00,4,869350.00,210,44260.00,366,9600.00,8557,640.00,7880,320.00,130068,40.00,78128337
14/136,2014-11-25,6,35,41,42,44,47,19,,1,5,3,3,1,0,0,1,4,0,0.00,0,0.00,78,108750.00,205,9600.00,4601,640.00,5760,320.00,82360,40.00,61484064
14/135,2014-11-22,2,12,17,27,32,33,44,33,3,3,3,3,1,2,1,2,0,0,0.00,3,932120.00,84,73970.00,228,9600.00,4274,640.00,4814,320.00,78146,40.00,49373270
14/134,2014-11-20,8,16,19,33,35,46,12,,3,3,3,3,1,2,0,2,1,0,0.00,3,909340.00,75,81370.00,148,9600.00,3617,640.00,5135,320.00,67006,40.00,45756162
14/133,2014-11-18,2,6,17,24,37,49,46,,4,2,3,3,2,1,1,1,1,0,0.00,1,2031270.00,76,71740.00,117,9600.00,3602,640.00,3889,320.00,70809,40.00,41456080
14/132,2014-11-16,7,15,32,33,34,43,10,,2,4,4,2,1,1,0,3,1,0,0.00,4,457830.00,128,38150.00,161,9600.00,3594,640.00,4252,320.00,59338,40.00,38872246
14/131,2014-11-13,21,36,41,42,46,49,6,49,1,5,3,3,0,0,1,1,4,0,0.00,3,654880.00,42,103950.00,109,9600.00,2278,640.00,3837,320.00,42437,40.00,32257002
14/130,2014-11-11,3,5,9,19,48,49,26,,4,2,5,1,3,1,0,0,2,1,10474490.00,3,329930.00,251,19200.00,320,9600.00,8799,640.00,7170,320.00,108069,40.00,41303033
14/129,2014-11-08,7,8,15,32,34,39,43,,3,3,3,3,2,1,0,3,0,0,0.00,3,431560.00,57,60560.00,160,9600.00,3105,640.00,3531,320.00,55176,40.00,30258501
14/128,2014-11-06,4,10,12,14,29,48,3,29,4,2,1,5,2,2,1,0,1,2,14727540.00,2,979720.00,93,56480.00,306,9600.00,5684,640.00,8131,320.00,95101,40.00,50613303
14/127,2014-11-04,16,23,29,30,37,38,33,,2,4,3,3,0,1,3,2,0,0,0.00,1,2356950.00,71,89150.00,201,9600.00,3819,640.00,5550,320.00,70148,40.00,48550821
14/126,2014-11-01,9,10,11,20,26,44,31,,4,2,2,4,2,2,1,0,1,0,0.00,3,591060.00,95,41690.00,216,9600.00,5018,640.00,5741,320.00,82957,40.00,39371744
14/125,2014-10-30,3,19,29,36,47,49,33,47,2,4,5,1,1,1,1,1,2,0,0.00,1,1692950.00,56,81340.00,144,9600.00,3284,640.00,4150,320.00,62181,40.00,36475473
14/124,2014-10-28,16,26,30,37,43,47,31,43,1,5,3,3,0,1,2,1,2,1,8000000.00,0,0.00,30,161380.00,122,9600.00,2329,640.00,3438,320.00,44471,40.00,34882486
14/123,2014-10-25,1,13,39,40,41,43,18,41,2,4,5,1,1,1,0,2,2,1,39883260.00,1,2708070.00,87,83480.00,154,9600.00,4390,640.00,5130,320.00,78602,40.00,53541786
14/122,2014-10-23,11,14,28,29,37,41,19,29,2,4,4,2,0,2,2,1,1,0,0.00,4,614460.00,79,83490.00,217,9600.00,4417,640.00,5891,320.00,79370,40.00,51807582
14/121,2014-10-21,6,9,17,18,29,34,42,,4,2,3,3,2,2,1,1,0,1,48771010.00,2,1945250.00,131,59390.00,275,9600.00,7507,640.00,7643,320.00,125830,40.00,67221780
14/120,2014-10-18,12,19,22,36,40,47,25,,3,3,2,4,0,2,1,2,1,0,0.00,2,1803000.00,77,94270.00,216,9600.00,5670,640.00,6264,320.00,89210,40.00,57561889
14/119,2014-10-16,4,9,34,39,48,49,18,,2,4,3,3,2,0,0,2,2,1,63807640.00,9,335180.00,304,24990.00,482,9600.00,11799,640.00,12114,320.00,166710,40.00,80722958
14/118,2014-10-14,1,5,8,17,20,37,33,37,5,1,4,2,3,2,0,1,0,0,0.00,4,991320.00,161,57640.00,276,9600.00,7904,640.00,8805,320.00,139059,40.00,76854443
14/117,2014-10-11,26,29,34,35,37,47,8,,0,6,4,2,0,0,2,3,1,0,0.00,5,700820.00,80,105780.00,196,9600.00,4630,640.00,6333,320.00,88445,40.00,62061064
14/116,2014-10-09,2,12,14,23,40,46,39,12,4,2,1,5,1,2,1,1,1,0,0.00,1,2955380.00,62,127110.00,184,9600.00,3776,640.00,5165,320.00,76654,40.00,56578669
14/115,2014-10-07,12,13,26,33,42,49,48,,2,4,3,3,0,2,1,1,2,0,0.00,3,769360.00,73,84310.00,326,9600.00,4318,640.00,8065,320.00,81609,40.00,53040922
14/114,2014-10-04,5,14,22,24,27,45,8,24,4,2,3,3,1,1,3,0,1,0,0.00,2,1242830.00,74,67630.00,220,9600.00,3477,640.00,5900,320.00,65927,40.00,41702744
14/113,2014-10-02,4,10,24,29,33,35,7,10,3,3,3,3,2,0,2,2,0,0,0.00,1,1727540.00,39,118120.00,150,9600.00,2579,640.00,4923,320.00,53196,40.00,36017384
14/112,2014-09-30,10,16,20,39,45,46,47,10,3,3,2,4,1,2,0,1,2,0,0.00,1,1649250.00,43,103480.00,118,9600.00,2045,640.00,3086,320.00,39763,40.00,31661651
14/111,2014-09-28,6,10,12,26,28,35,24,,3,3,1,5,2,1,2,1,0,7,8279690.00,4,771960.00,234,38480.00,480,9600.00,9566,640.00,12241,320.00,157855,40.00,84635761
14/110,2014-09-25,3,19,42,44,48,49,38,,2,4,3,3,1,1,0,0,4,0,0.00,3,1065770.00,106,80430.00,278,9600.00,6137,640.00,7936,320.00,108347,40.00,68320291
14/109,2014-09-23,12,13,20,28,41,43,23,,3,3,3,3,0,3,1,0,2,0,0.00,4,917400.00,78,109770.00,239,9600.00,4347,640.00,7485,320.00,88138,40.00,63917161
14/108,2014-09-20,3,16,32,38,40,48,27,16,2,4,1,5,1,1,0,3,1,0,0.00,0,0.00,69,97630.00,156,9600.00,3905,640.00,4828,320.00,68164,40.00,49573696
14/107,2014-09-18,6,16,20,25,27,45,29,,3,3,3,3,1,2,2,0,1,0,0.00,0,0.00,57,94530.00,135,9600.00,3534,640.00,4656,320.00,69975,40.00,41943261
14/106,2014-09-16,4,15,17,22,34,43,35,43,4,2,3,3,1,2,1,1,1,0,0.00,0,0.00,47,98610.00,95,9600.00,2746,640.00,3391,320.00,50950,40.00,34297976
14/105,2014-09-13,3,12,40,43,48,49,32,,2,4,3,3,1,1,0,1,3,2,82246250.00,10,1797010.00,484,94150.00,1270,9600.00,27777,640.00,37415,320.00,528565,40.00,348420150
14/104,2014-09-09,7,25,27,36,39,42,31,36,1,5,4,2,1,0,2,2,1,0,0.00,11,1045580.00,370,79120.00,1170,9600.00,20143,640.00,29047,320.00,371654,40.00,238344532
14/103,2014-09-04,11,14,34,36,43,46,1,43,2,4,2,4,0,2,0,2,2,0,0.00,7,1043150.00,197,91780.00,484,9600.00,10757,640.00,15215,320.00,201218,40.00,137263254
14/102,2014-09-02,26,28,37,43,45,47,25,,0,6,4,2,0,0,2,1,3,0,0.00,2,980180.00,82,64140.00,294,9600.00,3441,640.00,4725,320.00,61956,40.00,43288786
14/101,2014-08-30,15,18,24,27,39,49,6,"24,27",3,3,4,2,0,2,2,1,1,1,27144620.00,2,1081370.00,71,81220.00,202,9600.00,3204,640.00,5254,320.00,61549,40.00,44392511
14/100,2014-08-28,11,17,24,27,31,38,49,,3,3,4,2,0,2,2,2,0,1,38913520.00,1,2399270.00,109,58690.00,210,9600.00,5744,640.00,6092,320.00,95484,40.00,53773752
14/099,2014-08-26,25,29,32,33,37,44,47,32,0,6,4,2,0,0,2,3,1,0,0.00,1,2682900.00,75,95390.00,178,9600.00,3595,640.00,5077,320.00,69546,40.00,51982500
14/098,2014-08-23,4,12,14,24,32,38,13,14,4,2,0,6,1,2,1,2,0,0,0.00,2,450140.00,480,19200.00,182,9600.00,5012,640.00,5116,320.00,74944,40.00,43826314
14/097,2014-08-21,10,14,26,29,30,31,18,,2,4,2,4,1,1,3,1,0,0,0.00,4,554700.00,91,57200.00,158,9600.00,3893,640.00,4844,320.00,69253,40.00,41762062
14/096,2014-08-19,2,5,27,32,42,46,16,"27,42,46",2,4,2,4,2,0,1,1,2,0,0.00,4,497780.00,45,119310.00,136,9600.00,2869,640.00,4029,320.00,55062,40.00,39296442
14/095,2014-08-16,23,26,27,37,42,46,15,23,1,5,3,3,0,0,3,1,2,1,18336530.00,2,1015730.00,36,150470.00,108,9600.00,2519,640.00,3819,320.00,48694,40.00,38335971
14/094,2014-08-14,4,8,14,23,48,49,11,,4,2,2,4,2,1,1,0,2,1,24484200.00,6,249320.00,163,24540.00,286,9600.00,6667,640.00,6929,320.00,91718,40.00,44180085
14/093,2014-08-12,7,9,27,31,36,39,32,"9,31",2,4,5,1,2,0,1,3,0,0,0.00,1,1965010.00,83,63510.00,155,9600.00,4485,640.00,4707,320.00,79960,40.00,43432605
14/092,2014-08-09,1,9,15,31,33,41,37,31,3,3,6,0,2,1,0,2,1,0,0.00,5,297240.00,74,53550.00,159,9600.00,4373,640.00,4793,320.00,73695,40.00,36471190
14/091,2014-08-07,5,14,31,32,36,46,11,5,2,4,2,4,1,1,0,3,1,0,0.00,0,0.00,40,110890.00,106,9600.00,2134,640.00,3237,320.00,41694,40.00,31704781
14/090,2014-08-05,5,7,8,18,24,29,14,,5,1,3,3,3,1,2,0,0,1,8000000.00,5,143500.00,201,19200.00,291,9600.00,7667,640.00,6282,320.00,97234,40.00,34235446
14/089,2014-08-02,3,22,23,26,42,48,28,"22,48",3,3,2,4,1,0,3,0,2,1,9514470.00,1,1649540.00,31,144220.00,139,9600.00,2479,640.00,4457,320.00,50303,40.00,34155016
14/088,2014-07-31,12,22,27,35,44,48,38,,2,4,2,4,0,1,2,1,2,1,9131660.00,1,1710550.00,56,81450.00,117,9600.00,2773,640.00,3903,320.00,51495,40.00,34700090
14/087,2014-07-29,11,13,15,31,37,47,19,15,3,3,6,0,0,3,0,2,1,1,8000000.00,1,1670240.00,61,73610.00,139,9600.00,2511,640.00,3670,320.00,49066,40.00,33901192
14/086,2014-07-26,1,4,15,17,36,42,40,"4,36",4,2,3,3,2,2,0,1,1,1,22702840.00,1,2079580.00,69,80950.00,138,9600.00,3212,640.00,3932,320.00,66253,40.00,41701310
14/085,2014-07-24,4,5,21,31,36,38,14,,3,3,3,3,2,0,1,3,0,1,32928170.00,3,855370.00,89,76880.00,226,9600.00,4195,640.00,5753,320.00,82981,40.00,53348951
14/084,2014-07-22,1,3,14,16,24,41,13,"1,41",5,1,3,3,2,2,1,0,1,1,50459660.00,4,1186630.00,121,91530.00,383,9600.00,6787,640.00,10107,320.00,133665,40.00,87078367
14/083,2014-07-19,1,9,30,40,41,48,49,"1,30",2,4,3,3,2,0,1,1,2,0,0.00,6,273040.00,72,55620.00,481,9600.00,3939,640.00,10128,320.00,69234,40.00,44722477
14/082,2014-07-17,1,20,28,30,42,43,10,42,2,4,2,4,1,1,2,0,2,0,0.00,2,936190.00,47,106230.00,277,9600.00,2784,640.00,8250,320.00,57675,40.00,42771826
14/081,2014-07-15,2,5,9,32,41,42,44,,3,3,3,3,3,0,0,1,2,0,0.00,2,1067640.00,56,102590.00,128,9600.00,3683,640.00,4193,320.00,71985,40.00,43416519
14/080,2014-07-12,3,11,13,23,40,49,43,,4,2,5,1,1,2,1,1,1,0,0.00,3,437390.00,62,56890.00,279,9600.00,3678,640.00,5723,320.00,66143,40.00,35402185
14/079,2014-07-10,1,2,9,17,22,25,8,22,5,1,4,2,3,1,2,0,0,1,13080600.00,11,109890.00,108,28490.00,549,9600.00,5219,640.00,11120,320.00,82138,40.00,39134651
14/078,2014-07-08,4,16,22,27,38,39,36,38,3,3,2,4,1,1,2,2,0,0,0.00,0,0.00,58,74440.00,125,9600.00,3107,640.00,3671,320.00,55746,40.00,34174220
