Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
24/009,2024-01-23,2,6,7,14,30,43,15,43,4,2,2,4,3,1,1,0,1,0,0.00,1,1572410.00,51.5,81410.00,207.5,9600.00,3677.9,640.00,6215.8,320.00,67617.3,40.00,38072493
24/008,2024-01-20,3,25,31,40,43,48,45,,1,5,4,2,1,0,1,2,2,1,41969540.00,1,3794320.00,86,117650.00,248.5,9600.00,5180,640.00,7413.5,320.00,99858.6,40.00,73823573
24/007,2024-01-18,2,10,17,46,47,49,3,47,3,3,3,3,2,1,0,0,3,0,0.00,5,566880.00,88.5,85400.00,347.5,9600.00,4871.5,640.00,9567,320.00,93512.7,40.00,63001095
24/006,2024-01-16,1,6,8,27,41,47,29,,3,3,4,2,3,0,1,0,2,0,0.00,1,2421340.00,106,60910.00,222.5,9600.00,4793.4,640.00,6400.4,320.00,97656.1,40.00,53512905
24/005,2024-01-14,3,17,18,36,38,39,21,"3,38",3,3,3,3,1,2,0,3,0,0,0.00,1.5,1515390.00,90.5,66970.00,169,9600.00,5202.6,640.00,5278.3,320.00,87165,40.00,49593433
24/004,2024-01-11,3,6,8,26,29,38,1,3,3,3,2,4,3,0,2,1,0,0,0.00,5,235430.00,138.5,22660.00,452.5,9600.00,5814.4,640.00,10748.8,320.00,86800.2,40.00,39925810
24/003,2024-01-09,3,9,16,19,33,35,39,33,4,2,5,1,2,2,0,2,0,1,8000000.00,1.5,945640.00,106,35680.00,329.2,9600.00,5204.6,640.00,7219.5,320.00,86588.9,40.00,41956898
24/002,2024-01-06,1,4,24,31,33,34,2,34,3,3,3,3,2,0,1,3,0,1.5,73616970.00,12,768210.00,416,59090.00,1054,9600.00,22623.4,640.00,29106.8,320.00,397282.9,40.00,217293715
24/001,2024-01-03,2,3,19,34,37,46,32,19,3,3,3,3,2,1,0,2,1,0,0.00,14,542130.00,318.5,63540.00,877,9600.00,16400.5,640.00,21406.2,320.00,280332.9,40.00,171448460
23/146,2023-12-30,5,8,19,25,41,48,24,,3,3,4,2,2,1,1,0,2,0,0.00,0,0.00,89,88490.00,235,9600.00,5111.7,640.00,7350.4,320.00,99333.2,40.00,62019078
23/145,2023-12-28,11,18,27,29,34,45,28,,2,4,4,2,0,2,2,1,1,0,0.00,1,2696420.00,113.2,63510.00,309.5,9600.00,5615.7,640.00,8980.5,320.00,99180.5,40.00,61407861
23/144,2023-12-24,2,8,16,19,37,49,20,49,4,2,3,3,2,2,0,1,1,0,0.00,1,1943520.00,72.5,71480.00,221.5,9600.00,4172.5,640.00,5985,320.00,78730.6,40.00,44628700
23/143,2023-12-21,1,10,12,33,46,49,32,"33,46",3,3,3,3,2,1,0,1,2,0,0.00,3.5,400200.00,56,66700.00,194.5,9600.00,3477.5,640.00,4557.5,320.00,66299.3,40.00,34194175
23/142,2023-12-19,4,9,13,33,35,46,6,4,3,3,4,2,2,1,0,2,1,1.5,61757860.00,14.5,535020.00,264,78360.00,1103,9600.00,14669.2,640.00,24517.8,320.00,278179.8,40.00,177377384
23/141,2023-12-14,3,4,11,37,44,48,36,3,3,3,3,3,2,1,0,1,2,0,0.00,5,1021500.00,149,91400.00,445,9600.00,8389.7,640.00,11181.2,320.00,166659.8,40.00,106117614
23/140,2023-12-12,3,10,20,24,27,42,45,3,4,2,2,4,2,1,2,0,1,0,0.00,5,878650.00,120,97620.00,294,9600.00,7667.2,640.00,8801,320.00,148599.8,40.00,90138637
23/139,2023-12-09,2,3,4,31,46,49,34,,3,3,3,3,3,0,0,1,2,0,0.00,2.5,1253260.00,95.5,87480.00,197,9600.00,5613.2,640.00,6439,320.00,106742.4,40.00,64383920
23/138,2023-12-07,27,28,37,38,43,45,40,38,0,6,4,2,0,0,2,2,2,0,0.00,1.5,1901560.00,96,79230.00,193.5,9600.00,4364.2,640.00,5197.2,320.00,76834.4,40.00,56080440
