,RaceDate,RaceNo,Venue,Class,Going,Course,Place,HorseName,Jockey,Trainer,ActWeight,HorseWeight,Draw,FinishTime,WinOdd,Dividend,RaceMonth
10,2024/11/09,1,Sha Tin:,Class 5 - 1650M - (40-0),GOOD,ALL WEATHER TRACK,11,FAIRY HORSE,A Atzeni,C Fownes,135,1095,11,1:40.56,12,0,11
11,2024/11/09,1,Sha Tin:,Class 5 - 1650M - (40-0),GOOD,ALL WEATHER TRACK,12,WINNING TURN,K C Leung,P F Yiu,131,1049,9,1:42.66,68,0,11
12,2024/11/09,1,Sha Tin:,Class 5 - 1650M - (40-0),GOOD,ALL WEATHER TRACK,13,SUPER JOY,M Chadwick,W K Mo,125,1104,7,1:44.16,30,0,11
13,2024/11/09,2,Sha Tin:,Class 4 (Restricted) - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course", 1,KA YING ATTACK,M F Poon,D J Hall,128,1079,7,1:09.71,12,34.00,11
14,2024/11/09,2,Sha Tin:,Class 4 (Restricted) - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",2,JUNEAU PRIDE,B Avdulla,J Size,131,993,2,1:09.72,4.3,15.50,11
15,2024/11/09,2,Sha Tin:,Class 4 (Restricted) - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",3,ETALON OR,A Badel,P F Yiu,130,1138,9,1:09.77,6.9,18.00,11
16,2024/11/09,2,Sha Tin:,Class 4 (Restricted) - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",4,CIRCUIT JOLLY,Z Purton,D A Hayes,130,1139,3,1:09.98,2.6,0,11
17,2024/11/09,2,Sha Tin:,Class 4 (Restricted) - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",5,PATCH OF STARS,M Chadwick,K L Man,130,1163,10,1:10.06,10,0,11
18,2024/11/09,2,Sha Tin:,Class 4 (Restricted) - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",6,BEAR CHAMP,A Atzeni,C W Chang,130,1190,8,1:10.17,45,0,11
19,2024/11/09,2,Sha Tin:,Class 4 (Restricted) - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",7,DRAGON SUNRISE,L Hewitson,K W Lui,130,995,13,1:10.29,127,0,11
20,2024/11/09,2,Sha Tin:,Class 4 (Restricted) - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",8,CASHISCASH,C L Chau,D J Whyte,122,1038,5,1:10.36,65,0,11
21,2024/11/09,2,Sha Tin:,Class 4 (Restricted) - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",9,SONIC PURSUIT,C Y Ho,J Richards,130,1211,14,1:10.41,15,0,11
22,2024/11/09,2,Sha Tin:,Class 4 (Restricted) - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",10,SOMELOVEFROMABOVE,H Bowman,C Fownes,130,1165,6,1:10.44,44,0,11
23,2024/11/09,2,Sha Tin:,Class 4 (Restricted) - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",11,LUCKY BLESSING,P N Wong,P C Ng,120,1031,1,1:10.64,19,0,11
24,2024/11/09,2,Sha Tin:,Class 4 (Restricted) - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",12,NORTHERN FIRE BALL,H Bentley,C H Yip,129,1138,11,1:10.68,15,0,11
25,2024/11/09,2,Sha Tin:,Class 4 (Restricted) - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",13,REWARDING BUDDY,K C Leung,F C Lor,130,1054,4,1:10.86,64,0,11
26,2024/11/09,2,Sha Tin:,Class 4 (Restricted) - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",14,THE DOUBLE EAGLE,K Teetan,Y S Tsui,130,1067,12,1:11.71,157,0,11
27,2024/11/09,3,Sha Tin:,Class 4 - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",1,PATCH OF TIME,K Teetan,W K Mo,124,1172,10,1:09.54,2.9,13.50,11
28,2024/11/09,3,Sha Tin:,Class 4 - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",2,MASTER PHOENIX,C Y Ho,D Eustace,128,1119,11,1:09.63,18,51.50,11
29,2024/11/09,3,Sha Tin:,Class 4 - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",3,ROMAN CROWN,Z Purton,P C Ng,134,1102,5,1:09.68,6.5,21.50,11
30,2024/11/09,3,Sha Tin:,Class 4 - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",4,CITY THUNDER,L Hewitson,W Y So,132,1174,1,1:09.73,14,0,11
31,2024/11/09,3,Sha Tin:,Class 4 - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",5,MASTER TRILLION,K C Leung,F C Lor,135,1056,13,1:09.76,10,0,11
32,2024/11/09,3,Sha Tin:,Class 4 - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",6,RACINGRACE,B Avdulla,D J Hall,125,1082,3,1:09.81,10,0,11
33,2024/11/09,3,Sha Tin:,Class 4 - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",7,UNIVERSAL BLAZE,A Badel,J Size,119,1094,2,1:09.85,70,0,11
34,2024/11/09,3,Sha Tin:,Class 4 - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",8,MEANINGFUL DRAGON,C L Chau,K W Lui,123,1194,6,1:09.92,78,0,11
35,2024/11/09,3,Sha Tin:,Class 4 - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",9,GOLDENTRONICMIGHTY,M L Yeung,J Richards,128,1285,7,1:10.01,86,0,11
36,2024/11/09,3,Sha Tin:,Class 4 - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",10,HE WAS YOU,Y L Chung,A S Cruz,125,1179,8,1:10.01,7.8,0,11
37,2024/11/09,3,Sha Tin:,Class 4 - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",11,EURO ROCKS,M F Poon,C H Yip,128,1179,4,1:10.31,13,0,11
38,2024/11/09,3,Sha Tin:,Class 4 - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",12,BRILLIANT FIRE,H Bentley,D J Whyte,128,1186,14,1:10.41,97,0,11
39,2024/11/09,3,Sha Tin:,Class 4 - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",13,LIFE OF STONE,K De Melo,T P Yung,120,1166,9,1:10.43,97,0,11
40,2024/11/09,3,Sha Tin:,Class 4 - 1200M - (60-40),GOOD,"TURF - ""A+3"" Course",14,MONARCH COUNTY,H Bowman,C Fownes,128,1097,12,1:10.47,7.1,0,11
41,2024/11/09,4,Sha Tin:,Class 4 - 2000M - (60-40),GOOD,"TURF - ""A+3"" Course", 1,JOYFUL PROSPERITY,Z Purton,C S Shum,124,1091,8,2:01.86,2.3,13.50,11
42,2024/11/09,4,Sha Tin:,Class 4 - 2000M - (60-40),GOOD,"TURF - ""A+3"" Course",2,JUBILATION,M L Yeung,W Y So,124,1069,2,2:01.88,9.2,24.00,11
43,2024/11/09,4,Sha Tin:,Class 4 - 2000M - (60-40),GOOD,"TURF - ""A+3"" Course",3,CHARITY GAIN,C Y Ho,D Eustace,135,1102,4,2:02.15,3.8,16.00,11
44,2024/11/09,4,Sha Tin:,Class 4 - 2000M - (60-40),GOOD,"TURF - ""A+3"" Course",4,AFFORDABLE,C L Chau,D A Hayes,122,1208,14,2:02.20,84,0,11
45,2024/11/09,4,Sha Tin:,Class 4 - 2000M - (60-40),GOOD,"TURF - ""A+3"" Course",5,MANAGEMENT FOLKS,M F Poon,D J Hall,121,1154,13,2:02.31,33,0,11
46,2024/11/09,4,Sha Tin:,Class 4 - 2000M - (60-40),GOOD,"TURF - ""A+3"" Course",6,ARTHUR'S KINGDOM,A Badel,Y S Tsui,121,1004,1,2:02.43,8.8,0,11
47,2024/11/09,4,Sha Tin:,Class 4 - 2000M - (60-40),GOOD,"TURF - ""A+3"" Course",7,BILLIONAIRE SECRET,M Chadwick,K H Ting,132,1041,10,2:02.50,25,0,11
48,2024/11/09,4,Sha Tin:,Class 4 - 2000M - (60-40),GOOD,"TURF - ""A+3"" Course",8,HAPPY HERO,L Hewitson,M Newnham,124,1053,12,2:02.59,24,0,11
49,2024/11/09,4,Sha Tin:,Class 4 - 2000M - (60-40),GOOD,"TURF - ""A+3"" Course",9,STORM WINNER,K Teetan,C Fownes,123,1231,7,2:02.63,16,0,11
50,2024/11/09,4,Sha Tin:,Class 4 - 2000M - (60-40),GOOD,"TURF - ""A+3"" Course",10,CONFRINGO,K C Leung,W K Mo,123,1173,5,2:02.79,55,0,11
51,2024/11/09,4,Sha Tin:,Class 4 - 2000M - (60-40),GOOD,"TURF - ""A+3"" Course",11,PERFECT PAIRING,H Bowman,J Size,129,1013,9,2:02.84,22,0,11
52,2024/11/09,4,Sha Tin:,Class 4 - 2000M - (60-40),GOOD,"TURF - ""A+3"" Course",12,LITTLE FAIRY,B Avdulla,P F Yiu,123,1147,3,2:02.86,31,0,11
53,2024/11/09,4,Sha Tin:,Class 4 - 2000M - (60-40),GOOD,"TURF - ""A+3"" Course",13,PRINCIPLED,A Hamelin,J Richards,132,1050,11,2:03.06,103,0,11
54,2024/11/09,4,Sha Tin:,Class 4 - 2000M - (60-40),GOOD,"TURF - ""A+3"" Course",14,SILVER KING,B Thompson,F C Lor,134,1166,6,2:04.68,119,0,11
55,2024/11/09,5,Sha Tin:,Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,1,EXCEL WONGCHOY,C Y Ho,P C Ng,127,1108,4,1:38.37,5.6,21.50,11
56,2024/11/09,5,Sha Tin:,Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,2,JUMBO FORTUNE,K Teetan,D Eustace,129,1330,5,1:38.70,5.5,24.00,11
57,2024/11/09,5,Sha Tin:,Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK, 3,NEVER PETER OUT,M L Yeung,F C Lor,126,1134,7,1:38.85,6.3,23.00,11
58,2024/11/09,5,Sha Tin:,Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,4,SIXTH GENERATION,K C Leung,J Richards,129,1205,14,1:38.88,43,0,11
59,2024/11/09,5,Sha Tin:,Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,5,ACA POWER,A Badel,D J Hall,124,1029,10,1:39.01,13,0,11
60,2024/11/09,5,Sha Tin:,Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,6,FOREVER FOLKS,B Thompson,C W Chang,130,1190,6,1:39.04,8.5,0,11
61,2024/11/09,5,Sha Tin:,Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,7,FOREMOST TEDDY,Z Purton,C S Shum,125,1196,11,1:39.22,8.3,0,11
62,2024/11/09,5,Sha Tin:,Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,8,MOJAVE DESERT,L Ferraris,D A Hayes,135,1157,8,1:39.28,19,0,11
63,2024/11/09,5,Sha Tin:,Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,9,ATOMIC BEAUTY,B Avdulla,A S Cruz,126,1195,2,1:39.57,9.9,0,11
64,2024/11/09,5,Sha Tin:,Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,10,VIVA HUNTER,M F Poon,K L Man,125,1173,3,1:39.79,24,0,11
65,2024/11/09,5,Sha Tin:,Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,11,CURRAHEE,Y L Chung,W K Mo,117,1053,12,1:40.22,35,0,11
