RaceDate,HorseName,RestDays
2024-02-12,VOYAGE SAMURAI,999.0
2024-03-10,VOYAGE SAMURAI,27.0
2024-03-31,VOYAGE SAMURAI,21.0
2024-04-28,VOYAGE SAMURAI,28.0
2024-05-19,VOYAGE SAMURAI,21.0
2024-09-28,VOYAGE SAMURAI,132.0
2024-11-09,VOYAGE SAMURAI,42.0
2024-11-24,VOYAGE SAMURAI,15.0
2025-01-01,VOYAGE SAMURAI,38.0
2022-09-18,VOYAGE STAR,999.0
2022-10-16,VOYAGE STAR,28.0
2022-11-12,VOYAGE STAR,27.0
2022-12-18,VOYAGE STAR,36.0
2022-11-06,VUKAN,999.0
2022-11-23,VUKAN,17.0
2022-12-04,VUKAN,11.0
2022-12-18,VUKAN,14.0
2023-01-18,VUKAN,31.0
2023-02-12,VUKAN,25.0
2023-03-26,VUKAN,42.0
2023-04-15,VUKAN,20.0
2024-02-28,VULCANUS,999.0
2024-04-20,VULCANUS,52.0
2024-05-08,VULCANUS,18.0
2024-05-19,VULCANUS,11.0
2024-06-02,VULCANUS,14.0
2024-06-12,VULCANUS,10.0
2024-07-04,VULCANUS,22.0
2024-07-10,VULCANUS,6.0
2024-09-15,VULCANUS,67.0
2024-09-28,VULCANUS,13.0
2024-10-23,VULCANUS,25.0
2024-11-06,VULCANUS,14.0
2024-11-09,VULCANUS,3.0
2024-12-01,VULCANUS,22.0
2024-12-18,VULCANUS,17.0
2025-01-12,VULCANUS,25.0
2022-09-21,WAH MAY LUCK,999.0
2022-10-01,WAH MAY LUCK,10.0
2022-11-23,WAH MAY LUCK,53.0
2022-12-04,WAH MAY LUCK,11.0
2023-01-08,WAH MAY LUCK,35.0
2023-02-15,WAH MAY LUCK,38.0
2023-03-29,WAH MAY LUCK,42.0
2023-04-06,WAH MAY LUCK,8.0
2024-05-05,WAH MAY WAI WAI,999.0
2024-05-22,WAH MAY WAI WAI,17.0
2024-06-15,WAH MAY WAI WAI,24.0
2024-07-06,WAH MAY WAI WAI,21.0
2024-11-06,WAH MAY WAI WAI,123.0
